station_name,leiden_community,rent_cluster_x,rent_cluster_y
900 W Harrison St,1,3,1
Aberdeen St & Jackson Blvd,1,1,1
Aberdeen St & Monroe St,1,1,3
Aberdeen St & Randolph St,1,3,2
Adler Planetarium,1,3,1
Albany Ave & 111th St - NW,5,0,0
Ashland Ave & Chicago Ave,1,1,1
Ashland Ave & Garfield Blvd,2,2,0
Ashland Ave & Grace St,0,1,1
Ashland Ave & Grand Ave,1,1,1
Ashland Ave & McDowell Ave,2,0,0
Ashland Ave & Pershing Rd,2,2,0
Ashland Ave & Wellington Ave,0,1,1
Austin Blvd & Chicago Ave,5,2,0
Austin Blvd & Lake St,5,0,2
Broadway & Cornelia Ave,0,1,1
Broadway & Granville Ave,0,1,1
Broadway & Thorndale Ave,0,1,1
Burling St & Diversey Pkwy,0,1,1
Burnham Greenway & 105th St,5,2,0
Burnham Greenway & 112th St,5,3,0
Burnham Harbor,2,3,1
California & 16th St,1,0,3
California Ave & 21st St,1,0,2
California Ave & 23rd Pl,1,2,3
California Ave & 26th St,1,0,0
California Ave & 29th St,1,2,0
California Ave & 36th St,5,0,0
California Ave & Altgeld St,0,1,1
California Ave & Byron St,0,1,1
California Ave & Division St,1,1,1
California Ave & Lake St,1,0,2
Calumet Ave & 33rd St,2,1,1
Campbell Ave & Irving Park Rd,0,0,0
Campbell Ave & North Ave,0,1,1
Canal St & Monroe St,1,3,2
Cannon Dr & Fullerton Ave,0,3,1
Central Ave & Roscoe St,0,2,0
Central Park & Augusta Blvd,5,0,0
Central Park Ave & Bloomingdale Ave,1,1,1
Central Park Ave & Douglas Blvd,1,2,0
Central Park Ave & Elbridge Ave,0,1,3
Central Park Ave & North Ave,0,3,1
Central Park Ave & Ogden Ave,1,3,2
Central Park Blvd & 5th Ave,1,2,3
Clark St & Drummond Pl,0,1,1
Clark St & Wrightwood Ave,0,1,1
Clinton St & Jackson Blvd,1,3,0
Clinton St & Lake St,1,1,2
Clinton St & Madison St,1,1,2
Clinton St & Polk St,1,3,3
Clinton St & Roosevelt Rd,1,1,1
Clinton St & Tilden St,1,3,1
Clinton St & Washington Blvd,1,3,0
Clybourn Ave & Division St,0,1,1
Columbus Dr & Randolph St,1,1,2
Commercial Ave & 130th St,5,2,0
Commercial Ave & 83rd St,2,0,3
Constance Ave & 95th St,5,2,0
Cornell Ave & Hyde Park Blvd,2,1,1
Cornell Dr & Hayes Dr,2,3,3
Cottage Grove & 86th St,5,0,0
Cottage Grove Ave & 111th Pl,5,2,0
Cottage Grove Ave & 111th St,5,2,0
Cottage Grove Ave & 43rd St,2,0,3
Cottage Grove Ave & 47th St,2,3,1
Cottage Grove Ave & 67th St,2,0,0
Cottage Grove Ave & 71st St,2,1,0
Cottage Grove Ave & 78th St,2,0,0
Cottage Grove Ave & 83rd St,2,2,0
Cottage Grove Ave & 98th St,5,2,0
Cottage Grove Ave & Oakwood Blvd,2,3,3
Daley Center Plaza,1,3,2
Damen Ave & 47th St,1,2,0
Damen Ave & 59th St,4,0,0
Damen Ave & 74th St,3,0,3
Damen Ave & Clybourn Ave,0,1,1
Damen Ave & Grand Ave,1,1,1
Dearborn St & Van Buren St,1,1,1
Dodge Ave & Main St,0,3,0
Dodge Ave & Mulford St,0,3,3
Dorchester Ave & 63rd St,2,3,3
Drake Ave & Montrose Ave,0,3,3
DuSable Lake Shore Dr & Diversey Pkwy,0,1,1
DuSable Lake Shore Dr & Monroe St,2,1,1
Dusable Harbor,2,1,1
Eastlake Ter & Rogers Ave,0,1,3
Eberhart Ave & 91st St,3,0,3
Eggleston Ave & 92nd St,3,0,0
Elizabeth (May) St & Fulton St,1,3,2
Elizabeth St & 47th St,2,2,0
Elizabeth St & 59th St,2,0,0
Elizabeth St & 92nd St,3,0,0
Ellis Ave & 53rd St,2,1,1
Ellis Ave & 55th St,2,1,1
Ellis Ave & 58th St,2,3,0
Ellis Ave & 60th St,2,1,1
Ellis Ave & 83rd St,2,2,2
Evans Ave & 75th St,2,2,3
Evanston Civic Center,0,1,1
Ewing Ave & 99th St,5,0,0
Exchange Ave & 79th St,2,0,0
Field Blvd & South Water St,1,1,1
