,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
900 W Harrison St,10,6,6,0,2,8,11,17,43,38,37,38,52,38,50,66,81,83,44,22,30,30,22,10
Aberdeen St & Jackson Blvd,2,0,0,1,1,23,31,57,36,42,47,71,74,61,67,76,96,94,87,102,51,52,30,7
Aberdeen St & Monroe St,7,4,4,2,4,17,42,54,88,36,38,47,77,50,62,53,64,90,74,49,54,25,32,22
Aberdeen St & Randolph St,14,7,2,0,1,0,11,38,53,30,35,42,57,37,70,93,128,127,70,59,45,32,25,15
Adler Planetarium,17,7,6,0,0,1,9,20,27,30,57,110,149,192,214,229,226,156,169,150,121,49,36,65
Albany Ave & 111th St - NW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ashland Ave & Chicago Ave,6,6,0,0,1,18,33,47,50,20,29,26,40,31,24,19,43,70,51,30,27,21,6,12
Ashland Ave & Garfield Blvd,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1
Ashland Ave & Grace St,10,10,5,2,2,15,18,31,34,39,26,40,52,53,35,39,43,69,54,54,24,20,16,15
Ashland Ave & Grand Ave,10,4,2,1,3,6,25,37,58,42,31,33,33,35,29,31,53,62,56,55,26,36,24,15
Ashland Ave & McDowell Ave,0,1,0,0,0,1,1,1,1,2,0,3,2,0,0,6,9,3,2,1,0,0,2,0
Ashland Ave & Pershing Rd,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,7,1,0,0,6,0,1,2,0
Ashland Ave & Wellington Ave,9,3,1,6,2,4,14,13,28,52,38,48,45,52,39,31,47,69,74,36,32,24,18,15
Austin Blvd & Chicago Ave,0,0,1,0,2,0,0,0,1,1,1,4,3,0,0,8,3,2,4,7,1,0,1,0
Austin Blvd & Lake St,1,1,0,0,0,0,0,1,2,3,1,3,3,1,2,1,3,6,5,2,9,0,1,1
Broadway & Cornelia Ave,50,21,17,11,10,35,43,91,94,102,99,101,96,116,137,121,148,218,186,202,134,77,65,60
Broadway & Granville Ave,12,2,4,2,2,0,8,11,36,37,33,52,41,53,56,70,59,78,56,60,38,24,11,12
Broadway & Thorndale Ave,6,5,2,0,0,1,4,22,28,30,54,38,48,63,55,75,65,74,87,48,43,36,21,7
Burling St & Diversey Pkwy,11,15,4,4,6,16,32,55,83,50,52,89,99,76,86,96,111,157,171,119,89,63,38,27
Burnham Greenway & 105th St,0,0,0,1,2,0,0,0,0,0,1,1,3,2,0,3,1,1,0,0,0,0,0,0
Burnham Greenway & 112th St,0,0,0,2,0,2,1,3,2,0,5,0,7,8,7,9,11,6,7,2,3,1,0,0
Burnham Harbor,9,3,0,4,0,3,16,26,18,37,40,56,70,79,93,98,136,157,100,91,64,49,19,37
California & 16th St,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,2,3,0,0
California Ave & 21st St,0,0,1,0,1,2,4,3,3,3,3,1,8,5,5,9,19,9,12,2,4,1,5,1
California Ave & 23rd Pl,0,0,0,1,0,0,14,7,11,5,4,2,2,0,1,4,4,2,7,3,4,0,0,0
California Ave & 26th St,0,0,0,0,0,0,0,1,1,4,2,4,2,1,5,2,1,5,6,0,0,0,15,0
California Ave & 29th St,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
California Ave & 36th St,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
California Ave & Altgeld St,10,4,0,1,1,8,9,14,20,12,21,39,22,15,18,23,17,34,32,30,21,13,16,7
California Ave & Byron St,1,1,0,2,0,2,2,8,21,9,10,16,10,17,16,20,24,25,17,29,14,12,8,8
California Ave & Division St,3,3,0,1,0,0,5,12,27,22,15,27,20,43,26,21,30,35,26,47,26,3,5,3
California Ave & Lake St,0,1,0,0,0,0,5,4,4,3,3,3,6,5,4,1,3,15,6,2,3,1,4,0
Calumet Ave & 33rd St,2,1,1,1,5,6,5,17,27,26,23,38,35,42,30,23,46,28,58,43,33,30,5,5
Campbell Ave & Irving Park Rd,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,1
Campbell Ave & North Ave,6,0,0,1,0,0,13,27,38,42,32,22,40,45,38,56,41,38,67,59,44,27,19,7
Canal St & Monroe St,5,2,0,0,0,2,30,84,139,38,18,35,39,35,27,74,130,110,62,29,14,9,8,3
Cannon Dr & Fullerton Ave,11,3,0,0,1,1,6,17,10,35,37,51,88,112,89,87,68,74,76,60,51,21,11,5
Central Ave & Roscoe St,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,2,10,9,0,0,0
Central Park & Augusta Blvd,2,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,3,0,0,0,0,0,0,0
Central Park Ave & Bloomingdale Ave,2,0,2,0,1,0,2,8,9,7,17,21,21,34,27,30,22,33,36,28,13,1,7,2
Central Park Ave & Douglas Blvd,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,1,3,1,1,1,0
Central Park Ave & Elbridge Ave,6,2,3,1,0,0,18,23,9,9,6,13,16,15,14,20,15,20,18,25,21,15,17,7
Central Park Ave & North Ave,1,0,0,0,1,0,2,6,4,5,8,4,18,14,9,5,9,8,6,7,7,6,2,4
Central Park Ave & Ogden Ave,5,2,2,0,0,0,0,1,0,5,1,4,7,2,3,12,7,12,4,5,4,5,3,2
Central Park Blvd & 5th Ave,0,0,0,0,0,0,0,0,1,2,0,0,3,0,1,4,3,1,3,2,0,0,0,0
Clark St & Drummond Pl,23,20,19,9,6,9,25,90,64,73,95,141,164,121,118,114,141,256,245,186,125,80,95,35
Clark St & Wrightwood Ave,32,22,16,6,4,23,66,105,100,98,127,141,186,149,140,160,196,235,264,182,122,81,67,35
Clinton St & Jackson Blvd,10,3,0,5,0,17,79,188,108,49,46,38,55,53,64,98,189,260,167,78,30,23,17,16
Clinton St & Lake St,17,23,6,5,2,6,44,101,196,92,66,80,73,85,92,96,148,231,125,93,46,57,63,33
Clinton St & Madison St,14,14,5,2,1,4,115,198,227,127,74,102,109,102,110,114,226,322,197,116,95,61,81,34
Clinton St & Polk St,0,1,0,0,1,3,1,0,5,7,1,4,17,12,12,9,8,8,9,15,12,4,4,1
Clinton St & Roosevelt Rd,17,5,4,0,1,3,11,10,22,29,27,36,39,75,54,64,52,64,80,52,44,28,34,27
Clinton St & Tilden St,11,2,1,5,0,1,5,34,10,16,14,23,29,16,19,22,46,67,33,24,11,6,7,6
Clinton St & Washington Blvd,7,0,0,4,0,1,146,174,234,128,64,66,111,66,72,122,313,478,217,108,30,27,21,16
Clybourn Ave & Division St,5,9,3,6,0,6,26,39,60,27,17,29,36,40,38,51,55,70,62,50,26,26,30,15
Colfax Ave & 83rd St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Dr & Randolph St,39,3,8,5,1,15,31,89,161,92,84,99,109,108,106,110,158,179,185,104,67,70,32,15
Commercial Ave & 130th St,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,2,0,2,1,3,1,0,0,0
Commercial Ave & 83rd St,0,0,2,0,0,0,0,0,1,2,0,3,4,1,1,1,0,2,4,4,7,0,0,0
Constance Ave & 95th St,3,3,0,1,0,0,1,1,0,0,1,1,1,1,1,0,2,0,1,3,1,2,1,0
Cornell Ave & Hyde Park Blvd,4,0,4,1,1,3,33,22,79,66,69,55,52,50,42,47,61,99,76,65,27,20,22,6
Cornell Dr & Hayes Dr,1,1,1,1,0,0,0,0,2,2,1,0,4,1,4,3,9,8,7,8,5,0,1,0
