,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
900 W Harrison St,0.12048192771084337,0.07228915662650602,0.07228915662650602,0.0,0.024096385542168676,0.0963855421686747,0.13253012048192772,0.20481927710843373,0.5180722891566265,0.4578313253012048,0.4457831325301205,0.4578313253012048,0.6265060240963856,0.4578313253012048,0.6024096385542169,0.7951807228915663,0.9759036144578314,1.0,0.5301204819277109,0.26506024096385544,0.3614457831325301,0.3614457831325301,0.26506024096385544,0.12048192771084337
Aberdeen St & Jackson Blvd,0.0196078431372549,0.0,0.0,0.00980392156862745,0.00980392156862745,0.22549019607843138,0.30392156862745096,0.5588235294117647,0.35294117647058826,0.4117647058823529,0.46078431372549017,0.696078431372549,0.7254901960784313,0.5980392156862745,0.6568627450980392,0.7450980392156863,0.9411764705882353,0.9215686274509803,0.8529411764705882,1.0,0.5,0.5098039215686274,0.29411764705882354,0.06862745098039216
Aberdeen St & Monroe St,0.07777777777777778,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.044444444444444446,0.18888888888888888,0.4666666666666667,0.6,0.9777777777777777,0.4,0.4222222222222222,0.5222222222222223,0.8555555555555555,0.5555555555555556,0.6888888888888889,0.5888888888888889,0.7111111111111111,1.0,0.8222222222222222,0.5444444444444444,0.6,0.2777777777777778,0.35555555555555557,0.24444444444444444
Aberdeen St & Randolph St,0.109375,0.0546875,0.015625,0.0,0.0078125,0.0,0.0859375,0.296875,0.4140625,0.234375,0.2734375,0.328125,0.4453125,0.2890625,0.546875,0.7265625,1.0,0.9921875,0.546875,0.4609375,0.3515625,0.25,0.1953125,0.1171875
Adler Planetarium,0.07423580786026202,0.03056768558951965,0.026200873362445413,0.0,0.0,0.004366812227074236,0.039301310043668124,0.08733624454148471,0.11790393013100436,0.13100436681222707,0.24890829694323144,0.48034934497816595,0.6506550218340611,0.8384279475982532,0.9344978165938864,1.0,0.9868995633187773,0.6812227074235808,0.7379912663755459,0.6550218340611353,0.5283842794759825,0.21397379912663755,0.1572052401746725,0.2838427947598253
Albany Ave & 111th St - NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ashland Ave & Chicago Ave,0.08571428571428572,0.08571428571428572,0.0,0.0,0.014285714285714285,0.2571428571428571,0.4714285714285714,0.6714285714285714,0.7142857142857143,0.2857142857142857,0.4142857142857143,0.37142857142857144,0.5714285714285714,0.44285714285714284,0.34285714285714286,0.2714285714285714,0.6142857142857143,1.0,0.7285714285714285,0.42857142857142855,0.38571428571428573,0.3,0.08571428571428572,0.17142857142857143
Ashland Ave & Garfield Blvd,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
Ashland Ave & Grace St,0.14492753623188406,0.14492753623188406,0.07246376811594203,0.028985507246376812,0.028985507246376812,0.21739130434782608,0.2608695652173913,0.4492753623188406,0.4927536231884058,0.5652173913043478,0.37681159420289856,0.5797101449275363,0.7536231884057971,0.7681159420289855,0.5072463768115942,0.5652173913043478,0.6231884057971014,1.0,0.782608695652174,0.782608695652174,0.34782608695652173,0.2898550724637681,0.2318840579710145,0.21739130434782608
Ashland Ave & Grand Ave,0.16129032258064516,0.06451612903225806,0.03225806451612903,0.016129032258064516,0.04838709677419355,0.0967741935483871,0.4032258064516129,0.5967741935483871,0.9354838709677419,0.6774193548387096,0.5,0.532258064516129,0.532258064516129,0.5645161290322581,0.46774193548387094,0.5,0.8548387096774194,1.0,0.9032258064516129,0.8870967741935484,0.41935483870967744,0.5806451612903226,0.3870967741935484,0.24193548387096775
Ashland Ave & McDowell Ave,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0
Ashland Ave & Pershing Rd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,1.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.2857142857142857,0.0
Ashland Ave & Wellington Ave,0.12162162162162163,0.04054054054054054,0.013513513513513514,0.08108108108108109,0.02702702702702703,0.05405405405405406,0.1891891891891892,0.17567567567567569,0.3783783783783784,0.7027027027027027,0.5135135135135135,0.6486486486486487,0.6081081081081081,0.7027027027027027,0.527027027027027,0.4189189189189189,0.6351351351351351,0.9324324324324325,1.0,0.4864864864864865,0.43243243243243246,0.32432432432432434,0.24324324324324326,0.20270270270270271
Austin Blvd & Chicago Ave,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.125,0.125,0.125,0.5,0.375,0.0,0.0,1.0,0.375,0.25,0.5,0.875,0.125,0.0,0.125,0.0
Austin Blvd & Lake St,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.2222222222222222,1.0,0.0,0.1111111111111111,0.1111111111111111
Broadway & Cornelia Ave,0.22935779816513763,0.0963302752293578,0.0779816513761468,0.05045871559633028,0.045871559633027525,0.16055045871559634,0.19724770642201836,0.41743119266055045,0.43119266055045874,0.46788990825688076,0.4541284403669725,0.463302752293578,0.44036697247706424,0.5321100917431193,0.6284403669724771,0.555045871559633,0.6788990825688074,1.0,0.8532110091743119,0.926605504587156,0.6146788990825688,0.3532110091743119,0.2981651376146789,0.27522935779816515
Broadway & Granville Ave,0.15384615384615385,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.0,0.10256410256410256,0.14102564102564102,0.46153846153846156,0.47435897435897434,0.4230769230769231,0.6666666666666666,0.5256410256410257,0.6794871794871795,0.717948717948718,0.8974358974358975,0.7564102564102564,1.0,0.717948717948718,0.7692307692307693,0.48717948717948717,0.3076923076923077,0.14102564102564102,0.15384615384615385
Broadway & Thorndale Ave,0.06896551724137931,0.05747126436781609,0.022988505747126436,0.0,0.0,0.011494252873563218,0.04597701149425287,0.25287356321839083,0.3218390804597701,0.3448275862068966,0.6206896551724138,0.4367816091954023,0.5517241379310345,0.7241379310344828,0.632183908045977,0.8620689655172413,0.7471264367816092,0.8505747126436781,1.0,0.5517241379310345,0.4942528735632184,0.41379310344827586,0.2413793103448276,0.08045977011494253
Burling St & Diversey Pkwy,0.06432748538011696,0.08771929824561403,0.023391812865497075,0.023391812865497075,0.03508771929824561,0.0935672514619883,0.1871345029239766,0.3216374269005848,0.4853801169590643,0.29239766081871343,0.30409356725146197,0.52046783625731,0.5789473684210527,0.4444444444444444,0.5029239766081871,0.5614035087719298,0.6491228070175439,0.9181286549707602,1.0,0.695906432748538,0.52046783625731,0.3684210526315789,0.2222222222222222,0.15789473684210525
Burnham Greenway & 105th St,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Burnham Greenway & 112th St,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.0,0.45454545454545453,0.0,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.8181818181818182,1.0,0.5454545454545454,0.6363636363636364,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.0,0.0
Burnham Harbor,0.05732484076433121,0.01910828025477707,0.0,0.025477707006369428,0.0,0.01910828025477707,0.10191082802547771,0.16560509554140126,0.11464968152866242,0.2356687898089172,0.25477707006369427,0.35668789808917195,0.445859872611465,0.5031847133757962,0.5923566878980892,0.6242038216560509,0.8662420382165605,1.0,0.6369426751592356,0.5796178343949044,0.40764331210191085,0.31210191082802546,0.12101910828025478,0.2356687898089172
California & 16th St,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.0,0.0
California Ave & 21st St,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.42105263157894735,0.2631578947368421,0.2631578947368421,0.47368421052631576,1.0,0.47368421052631576,0.631578947368421,0.10526315789473684,0.21052631578947367,0.05263157894736842,0.2631578947368421,0.05263157894736842
California Ave & 23rd Pl,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,1.0,0.5,0.7857142857142857,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.5,0.21428571428571427,0.2857142857142857,0.0,0.0,0.0
California Ave & 26th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.4,0.0,0.0,0.0,1.0,0.0
California Ave & 29th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California Ave & 36th St,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California Ave & Altgeld St,0.2564102564102564,0.10256410256410256,0.0,0.02564102564102564,0.02564102564102564,0.20512820512820512,0.23076923076923078,0.358974358974359,0.5128205128205128,0.3076923076923077,0.5384615384615384,1.0,0.5641025641025641,0.38461538461538464,0.46153846153846156,0.5897435897435898,0.4358974358974359,0.8717948717948718,0.8205128205128205,0.7692307692307693,0.5384615384615384,0.3333333333333333,0.41025641025641024,0.1794871794871795
California Ave & Byron St,0.034482758620689655,0.034482758620689655,0.0,0.06896551724137931,0.0,0.06896551724137931,0.06896551724137931,0.27586206896551724,0.7241379310344828,0.3103448275862069,0.3448275862068966,0.5517241379310345,0.3448275862068966,0.5862068965517241,0.5517241379310345,0.6896551724137931,0.8275862068965517,0.8620689655172413,0.5862068965517241,1.0,0.4827586206896552,0.41379310344827586,0.27586206896551724,0.27586206896551724
California Ave & Division St,0.06382978723404255,0.06382978723404255,0.0,0.02127659574468085,0.0,0.0,0.10638297872340426,0.2553191489361702,0.574468085106383,0.46808510638297873,0.3191489361702128,0.574468085106383,0.425531914893617,0.9148936170212766,0.5531914893617021,0.44680851063829785,0.6382978723404256,0.7446808510638298,0.5531914893617021,1.0,0.5531914893617021,0.06382978723404255,0.10638297872340426,0.06382978723404255
California Ave & Lake St,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.2,0.2,0.2,0.4,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.2,1.0,0.4,0.13333333333333333,0.2,0.06666666666666667,0.26666666666666666,0.0
