,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
900 W Harrison St,15,6,5,3,0,2,8,23,55,41,48,33,46,47,48,30,49,48,37,36,35,40,14,14
Aberdeen St & Jackson Blvd,5,7,6,1,0,1,7,31,20,25,39,61,76,64,57,59,92,130,111,78,79,61,22,18
Aberdeen St & Monroe St,10,10,5,3,0,4,12,35,34,51,31,48,51,43,71,57,95,130,105,44,38,35,19,14
Aberdeen St & Randolph St,11,6,1,1,1,4,44,100,109,63,39,50,52,50,49,63,78,91,74,80,34,48,20,10
Adler Planetarium,11,5,4,0,0,3,6,23,27,66,80,112,138,187,179,146,202,159,203,200,128,66,22,15
Albany Ave & 111th St - NW,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ashland Ave & Chicago Ave,23,5,5,6,3,0,6,11,22,8,20,21,32,21,30,16,66,94,68,48,41,22,21,16
Ashland Ave & Garfield Blvd,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,3,0,0,2
Ashland Ave & Grace St,10,12,5,2,1,2,5,22,22,21,18,23,33,58,28,41,50,62,76,69,57,43,25,19
Ashland Ave & Grand Ave,13,4,7,0,2,2,15,20,33,26,19,22,21,41,33,37,52,95,88,54,49,37,35,12
Ashland Ave & McDowell Ave,0,0,1,0,0,0,10,0,1,0,0,2,1,5,1,3,3,2,2,4,4,1,4,1
Ashland Ave & Pershing Rd,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,1,0,0,0,5,0,0,1
Ashland Ave & Wellington Ave,11,2,9,8,3,1,1,18,10,24,21,32,31,41,41,30,52,74,63,50,43,40,21,27
Austin Blvd & Chicago Ave,3,2,1,0,0,0,0,1,0,0,3,2,2,0,0,0,3,6,6,3,5,2,0,0
Austin Blvd & Lake St,1,1,1,0,0,0,0,5,1,1,5,2,1,5,4,2,6,5,2,2,4,4,2,1
Broadway & Cornelia Ave,40,24,19,9,2,2,15,48,72,48,47,77,119,126,117,123,163,237,229,228,147,162,106,66
Broadway & Granville Ave,12,9,7,1,3,0,2,3,26,19,35,47,45,54,66,60,63,82,79,76,55,39,14,12
Broadway & Thorndale Ave,11,5,3,2,3,11,5,18,20,15,22,24,58,66,68,64,75,85,98,72,48,35,27,7
Burling St & Diversey Pkwy,15,12,3,4,20,9,24,34,41,29,46,74,79,68,109,114,130,162,178,139,117,91,55,25
Burnham Greenway & 105th St,3,1,0,1,0,0,0,0,0,0,1,0,2,2,4,2,0,1,0,2,2,0,0,0
Burnham Greenway & 112th St,0,0,0,1,0,0,3,2,1,2,2,3,5,4,5,8,16,5,7,6,7,4,0,0
Burnham Harbor,4,5,0,0,0,3,23,25,35,42,57,53,82,85,83,97,109,148,116,96,46,29,11,10
California & 16th St,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0,0
California Ave & 21st St,3,1,6,1,0,0,12,5,14,2,1,2,5,3,7,4,11,10,6,4,8,1,2,2
California Ave & 23rd Pl,1,0,2,1,0,0,0,0,1,3,5,2,8,3,3,1,4,6,4,3,4,2,3,2
