,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
900 W Harrison St,0.2727272727272727,0.10909090909090909,0.09090909090909091,0.05454545454545454,0.0,0.03636363636363636,0.14545454545454545,0.41818181818181815,1.0,0.7454545454545455,0.8727272727272727,0.6,0.8363636363636363,0.8545454545454545,0.8727272727272727,0.5454545454545454,0.8909090909090909,0.8727272727272727,0.6727272727272727,0.6545454545454545,0.6363636363636364,0.7272727272727273,0.2545454545454545,0.2545454545454545
Aberdeen St & Jackson Blvd,0.038461538461538464,0.05384615384615385,0.046153846153846156,0.007692307692307693,0.0,0.007692307692307693,0.05384615384615385,0.23846153846153847,0.15384615384615385,0.19230769230769232,0.3,0.46923076923076923,0.5846153846153846,0.49230769230769234,0.43846153846153846,0.45384615384615384,0.7076923076923077,1.0,0.8538461538461538,0.6,0.6076923076923076,0.46923076923076923,0.16923076923076924,0.13846153846153847
Aberdeen St & Monroe St,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.023076923076923078,0.0,0.03076923076923077,0.09230769230769231,0.2692307692307692,0.26153846153846155,0.3923076923076923,0.23846153846153847,0.36923076923076925,0.3923076923076923,0.33076923076923076,0.5461538461538461,0.43846153846153846,0.7307692307692307,1.0,0.8076923076923077,0.3384615384615385,0.2923076923076923,0.2692307692307692,0.14615384615384616,0.1076923076923077
Aberdeen St & Randolph St,0.10091743119266056,0.05504587155963303,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.03669724770642202,0.4036697247706422,0.9174311926605505,1.0,0.5779816513761468,0.3577981651376147,0.45871559633027525,0.47706422018348627,0.45871559633027525,0.44954128440366975,0.5779816513761468,0.7155963302752294,0.8348623853211009,0.6788990825688074,0.7339449541284404,0.3119266055045872,0.44036697247706424,0.1834862385321101,0.09174311926605505
Adler Planetarium,0.054187192118226604,0.024630541871921183,0.019704433497536946,0.0,0.0,0.014778325123152709,0.029556650246305417,0.11330049261083744,0.1330049261083744,0.3251231527093596,0.39408866995073893,0.5517241379310345,0.6798029556650246,0.9211822660098522,0.8817733990147784,0.7192118226600985,0.9950738916256158,0.7832512315270936,1.0,0.9852216748768473,0.6305418719211823,0.3251231527093596,0.10837438423645321,0.07389162561576355
Albany Ave & 111th St - NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashland Ave & Chicago Ave,0.24468085106382978,0.05319148936170213,0.05319148936170213,0.06382978723404255,0.031914893617021274,0.0,0.06382978723404255,0.11702127659574468,0.23404255319148937,0.0851063829787234,0.2127659574468085,0.22340425531914893,0.3404255319148936,0.22340425531914893,0.3191489361702128,0.1702127659574468,0.7021276595744681,1.0,0.723404255319149,0.5106382978723404,0.43617021276595747,0.23404255319148937,0.22340425531914893,0.1702127659574468
Ashland Ave & Garfield Blvd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666
Ashland Ave & Grace St,0.13157894736842105,0.15789473684210525,0.06578947368421052,0.02631578947368421,0.013157894736842105,0.02631578947368421,0.06578947368421052,0.2894736842105263,0.2894736842105263,0.27631578947368424,0.23684210526315788,0.3026315789473684,0.4342105263157895,0.7631578947368421,0.3684210526315789,0.5394736842105263,0.6578947368421053,0.8157894736842105,1.0,0.9078947368421053,0.75,0.5657894736842105,0.32894736842105265,0.25
Ashland Ave & Grand Ave,0.1368421052631579,0.042105263157894736,0.07368421052631578,0.0,0.021052631578947368,0.021052631578947368,0.15789473684210525,0.21052631578947367,0.3473684210526316,0.2736842105263158,0.2,0.23157894736842105,0.22105263157894736,0.43157894736842106,0.3473684210526316,0.3894736842105263,0.5473684210526316,1.0,0.9263157894736842,0.5684210526315789,0.5157894736842106,0.3894736842105263,0.3684210526315789,0.12631578947368421
