,latitude,longitude
Troy St & Jackson Blvd,41.877505,-87.70485
Indiana Ave & Roosevelt Rd,41.867888,-87.623041
Leavitt St & Belmont Ave,41.939354,-87.683282
W Oakdale Ave & N Broadway,41.935581,-87.644042
St. Louis Ave & Fullerton Ave,41.924815597,-87.714495063
Racine Ave & 35th St,41.830688565,-87.656210661
California Ave & 23rd Pl,41.849109692,-87.695139807
Damen Ave & 74th St,41.759274039,-87.673634291
Field Blvd & South Water St,41.886349063,-87.617516547
Halsted St & 111th St,41.692262556,-87.642611861
Green St & 103rd St,41.70665,-87.643422
California Ave & 36th St,41.8282301,-87.6945422
Milwaukee Ave & Grand Ave,41.891578,-87.648384
Princeton Ave & Garfield Blvd,41.794982,-87.633124
Racine Ave & Fullerton Ave,41.92556258,-87.65840426
Indiana Ave & 133rd St,41.653564,-87.617054
Union Ave & Root St,41.819102,-87.643278
Central Park Blvd & 5th Ave,41.875679,-87.71547
Clark St & Drummond Pl,41.931248,-87.644336
Warren Park West,42.001785,-87.688829
Halsted St & Wrightwood Ave,41.929143,-87.649077
Elizabeth St & 47th St,41.80839,-87.656526
Ellis Ave & 83rd St,41.744123,-87.599034
Austin Blvd & Chicago Ave,41.894887,-87.774704
Indiana Ave & 26th St,41.845687,-87.622481
Broadway & Cornelia Ave,41.945529,-87.646439
California Ave & Altgeld St,41.92669,-87.697668
Damen Ave & Clybourn Ave,41.931931,-87.677856
Cottage Grove Ave & 47th St,41.809855,-87.606755
Yates Blvd & 75th St,41.758768,-87.56644
Exchange Ave & 79th St,41.751731,-87.552812
Dusable Harbor,41.886976,-87.612813
Meade Ave & Diversey Ave,41.9309018,-87.7784686
Sedgwick St & Webster Ave,41.922167,-87.638888
Cornell Dr & Hayes Dr,41.780595,-87.584846
Cottage Grove Ave & 43rd St,41.816499,-87.606582
Halsted St & Roscoe St,41.94367,-87.64895
Sheffield Ave & Willow St,41.913688,-87.652855
California Ave & Division St,41.903029,-87.697474
Western Ave & 21st St,41.854109,-87.685838
Lincolnwood Dr & Central St,42.064854,-87.715297
Morgan St & 18th St,41.858086,-87.651073
900 W Harrison St,41.874754,-87.649807
Washtenaw Ave & Lawrence Ave,41.968987,-87.696027
Vernon Ave & 79th St,41.75094,-87.61379
California Ave & 29th St,41.840222,-87.694129
Halsted St & 37th St,41.827059,-87.64572
